audio_name,effective_label,tts_model,pipeline
dev01-cosyvoice-full_251_136532_000012_000004,spoof,cosyvoice,Gaussian Noise
dev01-ljjets-full_2412_153954_000004_000005,spoof,ljjets,Gaussian Noise
dev01-gptsovits-full_2086_149220_000045_000003,spoof,gptsovits,Resample Down
dev01-xttsv2-full_5895_34615_000029_000006,spoof,xttsv2,MP3
dev01-yourtts-full_6345_64257_000004_000006,spoof,yourtts,Gaussian Noise
dev01-elevenlab-full_84_121550_000196_000000,spoof,elevenlab,Gaussian Noise
dev01-cosyvoice-full_3000_15664_000003_000002,spoof,cosyvoice,Time Stretch
dev01-ljjets-full_5895_34615_000013_000010,spoof,ljjets,Resample Down
dev01-gptsovits-full_3000_15664_000020_000010,spoof,gptsovits,Time Stretch
dev01-xttsv2-full_3853_163249_000112_000002,spoof,xttsv2,MP3
dev01-yourtts-full_5338_24615_000003_000005,spoof,yourtts,Time Stretch
dev01-elevenlab-full_251_137823_000048_000000,spoof,elevenlab,Pitch Shift
dev01-cosyvoice-full_2428_83705_000001_000005,spoof,cosyvoice,MP3
dev01-ljjets-full_3170_137482_000065_000000,spoof,ljjets,Pitch Shift
dev01-gptsovits-full_251_136532_000000_000001,spoof,gptsovits,Resample Up
dev01-xttsv2-full_1988_24833_000027_000003,spoof,xttsv2,Pitch Shift
dev01-yourtts-full_5536_43363_000007_000004,spoof,yourtts,Time Stretch
dev01-elevenlab-full_7976_110523_000016_000007,spoof,elevenlab,Resample Up
dev01-cosyvoice-full_6241_61946_000007_000000,spoof,cosyvoice,Pitch Shift
dev01-ljjets-full_84_121123_000057_000000,spoof,ljjets,MP3
dev01-gptsovits-full_7850_281318_000002_000001,spoof,gptsovits,Soundscape Mix
dev01-xttsv2-full_3170_137482_000031_000000,spoof,xttsv2,Pitch Shift
dev01-yourtts-full_84_121550_000149_000000,spoof,yourtts,Soundscape Mix
dev01-elevenlab-full_2035_152373_000009_000005,spoof,elevenlab,MP3
dev01-cosyvoice-full_174_84280_000003_000002,spoof,cosyvoice,Soundscape Mix
